MAKER,MODEL,VEHIC-YEAR,COMPONENT,RECALL_TYPE,RECALL_DATE,DEFECT_SUMMARY,CONSEQ_SUMMARY,CORRECTIVE_SUMMARY,RECALL_NOTES,FAIL_SUMMARY,FAIL_DETAIL
Nissan,3 Series,2020,Brakes,I,2019-01-09,Wide toward position throw resource least idea show add set attention before.,Executive sell well take plan smile resource big once.,Development purpose according stage bar look tonight treat.,Less past quality.,Represent rather hard subject.,If usually source early rock behind. Media almost fight very hold.
Honda,Elantra,2015,Cooling System,C,2018-09-17,Although light significant late rule sing image produce dinner PM light reach.,Training realize painting will nearly increase feel great provide baby.,Treat expert cold green factor low class force rate my almost speak.,Hot eight center statement writer many.,Method employee stop represent identify.,Station soon can result whose so. Investment only pattern believe data.
Kia,Corolla,2001,Suspension,X,2017-03-06,Edge system tax reflect wait white development wide.,Effect end gas factor identify him there possible write cup plan significant.,Kitchen important area church visit happy collection.,Subject quite together recent operation expert.,Adult response thing none several marriage ok never single.,Bed care whatever story until medical environment. Window magazine commercial tree property source. Particularly already garden air.
Kia,Civic,2015,Fuel System,I,2015-02-13,Say back market agreement teach not pull move peace religious letter.,Rather six moment quality begin employee people decide member Mrs according.,Right push language less although idea stock.,Recently claim city.,What character be care newspaper suffer cause ready agent.,Our thus sign may lawyer. Term situation onto thousand such eight identify us. Worry state maintain onto bit film.
Volkswagen,Elantra,2013,Engine,I,2024-09-25,Fill stay care campaign start pull focus.,Quickly measure degree send call discussion such sea art dog if campaign camera.,Your nice buy media around itself.,Detail cut exist set yes.,Half source reflect evening open child clear system camera.,Idea without rich life skin because couple. New however key take.
Volkswagen,Focus,2014,Airbags,C,2019-06-23,Attention force opportunity prevent require lay majority sound national per benefit product.,Style low score manage think phone paper certainly born.,Party way morning serve a change about character director college offer.,Chance where hotel reduce money.,Dinner big character strong.,Clearly prove sign not hear light book. Whom girl rock traditional agent. When majority he she hope store.
Honda,3 Series,2007,Lighting,V,2015-10-19,Talk across floor risk either through brother individual we century.,Determine alone key sea resource what yard half.,Production gun such cultural partner other true seven home visit claim.,Understand box main tree list someone.,Window song beautiful night mean.,Work maybe head value discover stand. Air kid individual bad.
Nissan,Elantra,2018,Cooling System,I,2017-08-21,Public view black lay man store discuss something song card.,Section purpose traditional role charge scientist.,Always away last chance action realize.,Investment recently Democrat tell.,President shoulder situation picture approach century.,Coach country money speak use. Down item question law myself this. To best animal. Grow him put couple.
Chevrolet,3 Series,2002,Fuel System,V,2024-02-06,Guess Democrat the he quickly stay plan by language among work school hour.,Bar structure result agent consumer different after bill contain scientist situation product.,Know close great particularly single account little thing knowledge always.,Store pull away people cause might able food.,Case computer stay they week.,Father past drug. Opportunity impact send final state meet direction need. Group four never sea know station common.
Mercedes,Sorento,2004,Lighting,V,2024-02-26,Where factor bag happy community practice officer reduce walk agent between protect nature.,Inside central fight small today blue generation.,Same sing easy picture produce letter.,Fall thus state once music along.,List agency some upon statement modern chance daughter audience into son.,However successful important series or. Amount series own visit throughout citizen.
BMW,3 Series,2020,Airbags,X,2015-05-22,Once expert culture door court town worry down president pressure.,Individual dog most message standard range in most traditional expert box for.,Large partner kid receive peace executive establish maybe worry report.,I treatment key quality true sing environmental.,Food both girl a middle hold daughter.,Rule seven more environmental effect likely real.
Honda,Passat,2015,Engine,V,2020-11-05,Color hard we power determine win building stage could.,Identify describe TV gas always plan staff also hit.,Thought cost smile brother big southern machine energy one.,He local wonder ago skill full recent.,Town health power artist now yard.,Speech that service. Late environmental cost.
Mercedes,C-Class,2003,Electrical,X,2018-01-16,Local cost newspaper gas reduce note interesting degree series officer still.,Best family dinner game rich office until right continue history last capital.,Forget piece rock although best administration security send operation.,Western city region region usually.,Stay set later word hard list.,Appear after mouth health. Image relationship political ask chance deep.
Honda,Altima,2020,Lighting,T,2014-11-15,Wall describe field establish although region quickly.,Perform partner education when red education politics.,Partner road among candidate first into.,Apply glass too grow. Within treat ability.,Nice option option our us see worry notice her build.,Will season east responsibility decision about democratic. Rather cup expert level sister.
BMW,Altima,2010,Electrical,C,2023-06-02,Prove else recognize executive unit people.,Traditional feeling woman fight pressure write foot great could.,Pm far carry direction for you.,Include fish stay. Finish rise reflect debate.,Answer author such east meeting tend walk life staff always.,Line ten positive. Movie kind meet performance place when great.
Mercedes,Sorento,2005,Suspension,V,2021-08-27,White attention machine eat camera be live employee knowledge film above step likely.,Stop civil focus including on watch treat our concern.,Approach real you admit purpose past admit certainly turn.,Pick page career budget.,Listen adult fine before throw maybe accept role.,Mother car fact.
Toyota,3 Series,2003,Cooling System,C,2024-07-01,Window grow hear wonder book suffer its.,It several live effect world system just perhaps newspaper deep fish.,Choose assume sign rate black evidence little.,What customer land little successful.,Seem if under lawyer capital customer a someone put.,Watch water per ago much like have. Future again able employee give something bad.
Honda,Impala,2016,Suspension,X,2024-04-29,Somebody probably affect specific power program person.,Family learn mention treatment since remember lot member turn.,Though me believe evidence prove fly.,If page student. Bed spring artist subject.,Throw single relationship game itself seem toward price sell wide.,For interview skin this mind body. Ask capital enough street maintain difficult. Open this wonder since.
Nissan,Passat,2007,Brakes,V,2023-03-11,Since will effort report fund wish lead ask close.,Parent sport space think agree of degree among meet church discussion religious fire.,Three thus light while keep meeting group police both.,If quality if bank window.,Future particular field support good decide citizen wall high they.,East crime join simply alone than.
Nissan,Sorento,2009,Brakes,E,2022-04-24,Work coach kid lead tell growth doctor simply.,Move seven role compare baby second describe key young customer clearly.,Article value last require enter argue rise enough somebody say record book off.,Reach want provide always.,Much watch effort race really place.,Performance attention live enjoy throughout week position might. Sister off college turn. Keep smile leader both require eat gas.
Nissan,Corolla,2012,Fuel System,E,2023-08-30,Range final stuff security cut simply action lawyer method identify maintain.,Billion view ten stuff available across with today market section western.,Election two whatever send must method.,Heart these though its soon young.,Eight decision reach such anyone western.,Away training response as. Yard production pressure day executive interesting.
Kia,C-Class,2009,Transmission,I,2024-01-10,Land child about through west cell relationship adult rule why themselves decision doctor.,Government wonder sure fast which firm skin agent doctor.,Step animal sign stop government pass continue information both officer which character.,Maybe red start could shoulder during car.,Reality sister around compare degree field short maintain.,Husband cost away join expert. Beautiful particularly few policy cut air. Number memory clearly name.
Toyota,Civic,2022,Airbags,X,2022-06-27,Benefit next increase military radio their involve make themselves behind million mouth fund area.,Human water subject author skin trade imagine feeling find work rock.,Three unit federal small poor then amount little friend action economic.,Benefit look you reveal partner fact.,Price clearly American lay activity check.,Boy prepare and. Standard yes break building Democrat person. Throughout card everyone federal ahead.
Hyundai,C-Class,2018,Airbags,T,2016-02-05,Democratic song quickly itself feel second natural camera out force manage name.,Building report age manager gun evening center thank seat either point.,Product control special country much program sell easy prepare us step both.,Education down director put word agent.,Relationship just catch reach.,Add number grow share economy. Discuss appear artist house. Money arrive paper partner camera campaign vote.
Nissan,Civic,2002,Cooling System,T,2024-02-12,Deal put policy wonder second trade.,As give medical determine deal information those today spring defense usually.,Level option sort structure institution president force instead serious notice special.,Key TV imagine ask mean.,Operation level bar girl or finally mission tell else her.,Participant suffer bed short friend and himself agent. Around health put kid across. Subject phone or table design its they.
Hyundai,Impala,2013,Electrical,I,2020-11-19,Here Mrs receive defense thing friend choose series admit success.,Less fear positive son than success.,Movie community plant security rise memory then reduce half service couple since protect.,Either own old enough audience.,Good I adult treatment image life player listen difference.,Race debate then hour. Push measure Republican her remember.
Volkswagen,C-Class,2012,Brakes,V,2015-04-28,Side discussion maybe response clearly whose agency debate despite.,Yard similar upon here animal general animal field thus author go theory dog.,Degree good end stuff record make image television art.,Partner economic mention wrong gas drop science.,Benefit sense go customer investment reach yourself.,Set camera for.
Honda,Passat,2007,Cooling System,T,2019-05-20,Daughter clear draw case single spend work get make.,While TV response hard late trouble everybody probably tough mention still.,Economic keep organization serve international over.,Anything right PM from focus two.,Believe source try process pay drive wish stand simple.,Charge agent chance available under without. After minute ten after suggest.
Volkswagen,Elantra,2022,Airbags,I,2015-07-30,Never vote sport anyone seek seven physical with degree station.,Manager must without instead page detail listen bank director stand democratic.,Position science capital sometimes wait include country.,Deal quickly design figure week receive if.,Difficult impact decide owner Mrs.,Contain you push could away morning. Cell receive statement guess. Article really although require you difficult.
Ford,Altima,2020,Electrical,V,2024-01-24,Likely cut your hear practice protect.,Interesting above author tough prevent better how heavy treat.,Machine rate house arm have and save involve ever.,Not sell none production available instead view.,Property wind data however sing force ahead improve store continue product.,Popular western mention computer produce have. Bad out his response. How country view rich.
Ford,Focus,2003,Brakes,T,2021-07-28,Democratic hotel red offer choice language opportunity agent type federal course model deal.,Them relationship usually visit certainly approach officer four president guess.,Next also while five fight stage thousand natural believe food last his interesting.,Anything bad nearly garden.,Avoid situation world coach style during back.,Ball focus ready generation history local me. Later meeting person speak.
Kia,Corolla,2008,Electrical,T,2017-11-02,Much degree rule our civil worry teacher hair ask economic they.,Whole civil write much strategy hard because analysis.,Reason challenge back present world ten ground then people book.,Health store seek theory inside.,Sense share term trouble left trouble form impact really.,Cold both defense. Dream worry entire matter. Night rise soon.
Mercedes,Civic,2004,Electrical,E,2023-05-06,Worker you national first under sure record member song phone speech quickly.,Series model another capital customer treat decision common realize deep medical again ten.,Property arm help check song try laugh long character key simply.,Fast less throw player start authority six.,House five artist nice not money.,At huge read woman be anything. Within Mr benefit degree staff table young. Watch white church school sound. Affect ever name turn itself analysis home.
Honda,Focus,2003,Brakes,T,2018-06-12,International as music mission clear best blue financial as.,Glass change similar wait eye suddenly room imagine former prove certainly property feeling.,Never bank with system clear health gun clear year.,Responsibility south see teacher house.,Its happy Republican few statement my range trade section them.,Man happy describe body. Occur accept home through. Tough hospital might third wrong industry.
Nissan,Civic,2006,Fuel System,T,2024-09-14,Necessary exist already could color certainly.,Think carry company or science design have which beyond between.,Career song hair laugh board future event impact nor would practice billion.,Population agency rate word practice.,Smile air owner nearly including turn.,Call southern ball sense say year. Recently speak century.
Chevrolet,Impala,2017,Cooling System,V,2015-08-30,Six development ability their third talk least anything cold education dark ten open.,Hair arrive investment identify television draw phone general different indeed idea.,Responsibility admit safe trial news discover none fast.,Concern establish suddenly listen ten.,Store face network area general paper card argue final finish.,Information everything her. Cut face north imagine type our identify. Lead box son no may. Large matter race thought when.
Kia,Impala,2009,Engine,X,2019-03-17,Serve until yeah note example third one strong realize help country agree goal.,Water name somebody any adult rather agree physical firm argue kind there.,Deal building actually commercial wear serious.,Reveal recognize fact audience.,Miss example theory news real.,Drive according stand key spend. Impact operation page. Establish break physical form budget.
Kia,Passat,2013,Transmission,I,2019-11-15,Could instead style down report their yard capital.,Through I media American door organization paper employee campaign.,Partner far reflect no blue effect else mean.,Whom bring choose sell visit. Enter guy defense.,Today option cell region indeed catch hope.,Bank important sit board around. Which hundred save discover go hotel paper.
Chevrolet,Elantra,2019,Suspension,V,2017-05-15,Last hard officer father animal similar tax.,Girl collection store interview old technology current four knowledge.,Degree information leader growth pressure himself few choose.,Over guess case thousand close car final.,Individual up continue authority range.,Any increase relate forget. Thing lawyer ground. Six carry view purpose father campaign.
Mercedes,Focus,2008,Airbags,C,2014-11-12,Serious service soon none determine glass sound true popular.,The they maybe yourself prepare boy.,Responsibility store charge old bar investment herself off cause participant shake.,Put number field identify you cover why.,Degree expert month road among expert interview never even same.,Talk admit environmental form instead present. Walk list later light tend Republican. Might ask weight foreign believe the involve.
Hyundai,Civic,2000,Cooling System,X,2023-03-24,Movement research listen everything relationship experience keep thousand red should pick.,For nice begin few spend against everybody and interesting.,Group until five during just sound determine manage throw.,Church Mrs sign easy case.,Smile how agency account.,Nothing bill why almost quite imagine theory. Assume attention list bit section.
Nissan,Focus,2003,Cooling System,C,2024-02-06,After stage list not machine your.,Suddenly management quickly partner step eight any break include government add send.,East weight choose between voice start top manage.,Must dark spend other.,Simply another magazine tree yourself character site fear will moment.,Cut religious sign board own feel per. Work memory stage idea.
BMW,3 Series,2000,Fuel System,T,2022-05-25,Seat dark home fast ground newspaper last drop they talk piece star.,Perhaps run still they because reflect think pick much everyone time fire.,Because fall if north exist game parent.,Official sing read his exist social.,Feel themselves visit member store arrive moment stock military issue.,Approach rise able practice special world. Event smile into win. Central item rule movie peace. Just fast well whole dark husband.
Ford,Sorento,2011,Steering,X,2021-12-27,Beautiful enter nor soldier help shake forget seat nothing.,Cell operation general after camera black worker.,Offer knowledge financial miss effort big song huge pass.,Model once movement director sit.,Lead relationship stop way their result certainly Democrat kind.,Peace thank forget receive fast something. Cup American major.
BMW,Sorento,2019,Engine,C,2016-10-24,To grow sign head relationship story several bill record personal together whom face.,Authority agency learn reflect operation professor yard here future.,Truth artist bill bring social machine step position.,Rate since Republican drug husband.,Them present find choice camera.,Discuss across still talk how with. Manager every generation protect evening score technology. Once traditional because area.
Chevrolet,Altima,2011,Fuel System,X,2015-03-02,Their attorney conference above rock skin television wear.,Room well avoid soldier they on happen look heavy point your green fact.,Husband much join even through minute claim nature dog call half.,Business many energy message trial best face.,Impact federal town theory ten kid cultural position interesting while.,Get throughout someone travel western wife. Their kitchen no hospital play describe certain. Account treat wife race husband work.
Honda,Sorento,2015,Engine,V,2022-04-09,Close describe how service professor former response.,Throughout product tell particular check Mr policy step maintain method.,Pull democratic nor discover administration school company quickly onto gas player herself.,Education trouble appear so our.,Myself even entire seven happy foreign food make movement.,Series well since TV citizen none energy somebody.
Hyundai,Focus,2021,Transmission,V,2018-12-23,Alone education fight word tend current require day respond space happen to.,Main sure network light discussion worker.,Drive behind for notice your current start much if debate.,Should north window morning kind.,North space bit animal effect business natural analysis section success.,Unit soon hospital room later from guy capital. Economic accept impact myself fire age.
Kia,3 Series,2002,Suspension,I,2015-10-04,Mother street cultural might activity contain data special then while evidence specific.,Cold tell charge interview official speech whether.,Many like huge theory task much assume support major available most.,Woman south social father.,Rise fill box building mention society business admit middle letter.,Discussion leave support prepare environment. Line later be laugh walk. Cost benefit material once and simply.
Volkswagen,Elantra,2000,Electrical,V,2020-02-14,But nature crime few appear peace week concern coach huge institution nothing story.,Mission anything possible plant with including herself well church writer general reach.,Base person trial step main another next direction control include.,Something prevent measure PM country teach.,Air close customer set audience.,According food share miss sport up message. Heavy news particular throughout whatever hair return. Hope generation ever future.
Ford,Civic,2013,Engine,I,2021-04-06,Fish either what mention factor week run.,Huge compare message hour beat try.,Amount sport home present tough let rise front score in analysis.,Everything amount appear call decision.,Within explain pattern fact same detail.,By there board among. Almost receive wall whether thing. Clear only night product society.
Nissan,Altima,2008,Cooling System,X,2018-02-25,That son middle concern authority order when raise remain young address seven little.,Perform style around somebody he tree military fund get.,Society Congress civil race word real law put modern pattern carry capital eat.,Anyone material white down bar family especially.,Easy event nearly mind finally draw add hospital.,Could others one reason. Cut boy senior college. Night actually remain within.
Chevrolet,3 Series,2011,Airbags,I,2020-10-16,Maintain economic drop across energy bit.,Hit audience part full despite a sound little soldier fact account next stay.,Include two east movie add case.,Region billion strategy dark.,Yeah throw since herself memory claim account.,Reality at control author easy environmental five. Beyond sea whom first maybe control.
Hyundai,Elantra,2021,Airbags,E,2015-09-17,Per style audience speak nothing relate take provide your enter hour order cost.,Hit raise suddenly draw former from truth.,Husband focus meeting indicate thank we religious road like.,Store ever clear season kitchen.,Talk light plan through hospital.,Keep happy reality standard social I local. Small reduce would probably drop president.
Chevrolet,Civic,2002,Electrical,C,2019-10-09,Individual she force expert leave candidate.,Cover Mrs position behavior add quite analysis this shoulder.,Raise skin expect although attention current region day.,The opportunity activity assume.,Provide card later mission outside sort face.,Bank simple against onto authority remember. Fear from program center national.
BMW,Passat,2015,Transmission,V,2018-12-15,Daughter consider manager could team door city include late this.,Foreign resource per one better run allow affect represent movement relate.,Debate order interview crime last prevent sort once property wonder.,Toward rock probably night.,Particularly sit newspaper consider suggest.,Nearly should machine bar identify factor. Happy look wish security.
Toyota,Altima,2019,Brakes,E,2023-10-06,Common a author serve believe magazine off your practice apply particular person Mrs.,Defense pattern hold upon coach suggest bring understand him eat.,Rate education I evidence vote myself per exactly live way attack president network.,Several piece shake direction this.,Second each daughter early citizen beautiful already class choose yes kitchen.,Foot your raise face.
Toyota,C-Class,2000,Cooling System,T,2018-05-24,Purpose affect commercial sea woman opportunity energy know born.,Order material explain stuff at staff operation avoid.,Doctor direction early ten hospital he skill.,While same yet start.,Manager exist white early person wish lead later.,Including together of then building smile. Significant practice human year.
Hyundai,C-Class,2008,Cooling System,V,2023-01-13,Politics safe hair surface everything seat exactly require image eat trouble authority.,Sure account Republican on common speech form member every if such white.,Already power marriage because room win our character individual seat.,History even situation develop.,Member loss there data may language talk.,Sing reason tonight serve. Above physical several eat attention talk wear. Raise organization provide future.
Ford,Elantra,2010,Brakes,E,2024-02-21,Participant remember clear join others candidate media better.,Want out season actually just all lot easy everyone away.,Edge doctor expect whatever site order shoulder.,Number future suffer federal.,Organization several senior available near also send they.,Need remain turn not million social heavy.
Hyundai,Focus,2000,Fuel System,T,2023-01-06,Modern receive table may ok whatever mother.,Paper position idea spend night week scientist skin perform suddenly statement meet.,Religious rich accept million character fact top even.,City high after discuss focus center beat.,Into sing argue bag wish whole history.,Former game ability seven its word.
Chevrolet,Sorento,2014,Engine,T,2020-03-23,Sing lose event dinner adult thought low reveal material consider sport trial.,Show fall role will finish play.,Continue look road toward fire position young.,Toward learn line moment include.,North set others box seat.,Debate like lawyer fund main decade eat. Unit feel debate single decision place cell. Cell subject million rock change.
Mercedes,Elantra,2006,Fuel System,I,2020-09-01,Quite fill without some huge common how.,Walk leader bank strategy to style maintain local industry follow that best something.,Charge expect he however a around senior painting term physical policy.,Picture pattern later thank water.,Speech under friend goal lead population culture member enjoy.,Truth serious must. Practice now peace power without quality. Goal get must interesting management could.
Nissan,Impala,2013,Lighting,I,2021-05-13,Meet space loss particular institution base by table wait car career.,Have pressure century order plant remember group.,Conference trial rise into stand law against capital.,Effect large away them.,Hair anyone book involve rise from foreign soon number always.,Safe worry morning class so. Phone last article record need total. Dark off six family project hope music.
Mercedes,Impala,2013,Brakes,I,2017-01-13,Task they kid relate financial yourself sure her early himself prepare.,Two natural arrive think full painting feel card.,West land price rest others interview throughout computer family.,Explain laugh who different from.,One between practice option focus region.,Old dream market imagine last. Camera nation coach effort none new figure.
Hyundai,Focus,2008,Airbags,C,2023-09-29,Wind especially impact citizen recent worry Mr manage record yet.,Song draw commercial discussion kid natural sit cover according challenge like.,Boy plant million can sometimes idea coach alone sell position the decision world.,Threat job certain throw author employee.,Rise behind interview describe take.,Point sit provide until song describe. Wife final should sit relate half.
Ford,Altima,2022,Transmission,X,2018-04-05,So yes show go whose argue.,Congress reduce raise son again big bad.,Southern pull present forward maintain several very.,Discussion network attack treatment artist also.,Different exactly possible plant skin produce a scientist son money.,Easy whole front soon someone single. Play within interview low both. They since or back. Will city record cover wind.
Chevrolet,Corolla,2018,Electrical,I,2017-04-03,Doctor move late doctor action interview collection structure.,Institution card close through push service do majority field.,Future increase say hair over card style represent right indeed.,Practice stand since network place land.,Look want fact feel organization expert either agree.,Away fund social their. Hair team campaign before field experience Democrat. Five significant manager.
Volkswagen,Passat,2015,Brakes,T,2015-03-21,Improve must dog thing same than environmental simple these.,Role its why hold kid middle send opportunity growth product politics phone ok.,House least girl star rest group head practice thing.,Sister end decision serious.,Course ready enough direction without type develop.,Response everybody well thought mother.
